"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"1536","5defe76ec33cea000b6cb8e1",58,1939,"5e3f6466f09a9f1c6057268b","6",0,3,1,6,-4480,"ci","1",28,8.087,6,4,54,24,3,-2040,1,99,-2040,-8040,200,0.728066982162359
"1537","5be36be211870100014e3a10",43,1940,"5e3f696809a1141d0e3e447b","5,2",1,2,1,6,-240,"ci","5",5,13.643,7,3,3,3,1,-440,2,19,-440,-1280,200,0.567184334908845
"1538","58d9a79c33fef3000118abdf",50,1941,"5e3f67178dd3cf1ca62c14a0","null",0,5,0,5,-760,"ci","1",20,4.706,5,5,49,19,3,0,0,99,0,-10000,200,0.980296049406921
"1539","5d1e47055538e6001a842e3b",77,1942,"5e3f645423323f1c3c7463b4","3,6,10,5,9",4,5,1,0,-34480,"ci","1",24,11.781,4,6,44,14,2,-1800,5,99,-1800,-11960,200,0.835457610393882
"1540","5e15a5f7082675b7e19b2bbc",30,1943,"5e3f6463280cae1c6f6f6c7b","3,8,6,2",3,5,1,1,-81920,"ci","10",3,8.067,4,6,58,28,3,-40,4,9,-40,-1160,200,0.822924320352682
"1541","5dd33261fce6063503a61fd2",9,1944,"5e3f64584425131c4df331b7","7,9,4",3,5,0,2,-440,"ci","5",12,19.481,5,5,82,22,4,120,3,19,120,-2000,200,0.963198546115402
"1542","5a95694a4eecca0001dd4721",21,1945,"5e3f646111f2e11c2b6ec11d","10,2,6",3,4,0,3,-1920,"ci","10",10,5.347,6,4,90,30,4,80,3,9,80,-840,200,0.883765609990394
"1543","5aeacc45d9f2be00019341ae",64,1946,"5e3f66afd960941c8cfc0d5e","9",1,4,0,5,-840,"ci","5",22,11.18,6,4,41,11,2,0,1,19,0,-1640,200,0.89082020640956
"1544","5e39b4e8eed08202335f88bb",11,1947,"5e3f6464ce52251bf065935e","7,6",2,2,0,6,-2800,"ci","10",9,49.636,8,2,59,29,3,-40,2,9,-40,-520,200,0.665742024965326
"1545","5defe76ec33cea000b6cb8e1",58,1948,"5e3f6466f09a9f1c6057268b","3",1,6,0,3,-4400,"ci","1",24,4.812,4,6,55,25,3,80,1,99,80,-11960,200,0.990050160348656
"1546","5dbee94de0a6e839b5a23898",84,1949,"5e3f647819a5ea1c3bf2e5fa","5,10",2,8,0,0,3680,"ci","1",21,8.214,2,8,68,8,3,200,2,99,200,-15880,200,0.999937814812512
"1547","5def263d8def535cf50388ea",28,1950,"5e3f6458f2160b1c566554ef","10,6",1,4,1,4,-280,"ci","10",19,18.856,5,5,4,4,1,-160,2,9,-160,-1000,200,0.699417152373022
"1548","5de301515253b03390043d12",80,1951,"5e3f6473efb86e1c939f60b9","5,9,3",3,6,0,1,-7160,"ci","10",24,9.882,4,6,52,22,3,160,3,9,160,-1160,200,0.969875091844232
"1549","5c8af558d551550019d44308",45,1952,"5e3f64fdaa21c61c60bdf416","3",1,7,0,2,-7560,"ci","1",4,29.961,3,7,18,18,2,120,1,99,120,-13920,200,0.994263862332696
"1550","5e15a5f7082675b7e19b2bbc",30,1953,"5e3f6463280cae1c6f6f6c7b","4,9,2",3,4,0,3,-81840,"ci","10",2,7.905,6,4,59,29,3,80,3,9,80,-840,200,0.883765609990394
"1551","5defe76ec33cea000b6cb8e1",58,1954,"5e3f6466f09a9f1c6057268b","null",0,5,0,5,-4400,"ci","1",20,3.848,5,5,56,26,3,0,0,99,0,-10000,200,0.980296049406921
"1552","5c44b3fe1bbffd0001014286",35,1955,"5e3f647ec10d051c176daec4","5,10,9,3,6",4,5,1,0,-8960,"ci","1",24,11.301,4,6,66,6,3,-1800,5,99,-1800,-11960,200,0.835457610393882
"1553","5dbee94de0a6e839b5a23898",84,1956,"5e3f647819a5ea1c3bf2e5fa","8,4",2,5,0,3,3760,"ci","1",12,5.991,5,5,69,9,3,80,2,99,80,-10000,200,0.988138417802176
"1554","5d1e47055538e6001a842e3b",77,1957,"5e3f645423323f1c3c7463b4","5,4,7,3,9,2",4,4,2,0,-38280,"ci","1",8,11.664,4,6,45,15,3,-3800,6,99,-3800,-11960,200,0.670997450867527
"1555","5be36be211870100014e3a10",43,1958,"5e3f696809a1141d0e3e447b","9,3,4",2,6,1,1,-480,"ci","5",17,13.182,3,7,4,4,1,-240,3,19,-240,-2720,200,0.849024306744266
