"prolific_pid","condition","trial","p_trial_id","alpha","block_id","block","beta","f1"
"5c66e2f32eacb200019ee394","ci",11,18,"0.1",18,1,1,0.909090909090909
"5d1d5027558790001a6d4dea","ci",2,44,"0.1",14,2,1,0.285714285714286
"5c994ca30225a000167bd288","ci",1,64,"0.1",4,3,1,0.666666666666667
"5c66e2f32eacb200019ee394","ci",3,19,"0.1",19,1,1,0.727272727272727
"5d1e47055538e6001a842e3b","ci",14,3,"0.1",3,1,1,0.727272727272727
"5c994ca30225a000167bd288","ci",9,65,"0.1",5,3,1,0.857142857142857
"5c994ca30225a000167bd288","ci",17,66,"0.1",6,3,1,0.8
"5d1d5027558790001a6d4dea","ci",11,45,"0.1",15,2,1,0.888888888888889
"5c66e2f32eacb200019ee394","ci",26,20,"0.1",20,1,1,1
"5c994ca30225a000167bd288","ci",25,67,"0.1",7,3,1,0.333333333333333
"5d1e47055538e6001a842e3b","ci",29,4,"0.1",4,1,1,0.727272727272727
"5dd33261fce6063503a61fd2","ci",21,23,"0.1",23,1,1,0.666666666666667
"5c994ca30225a000167bd288","ci",2,68,"0.1",8,3,1,0.5
"5d1d5027558790001a6d4dea","ci",20,46,"0.1",16,2,1,0.8
"5c994ca30225a000167bd288","ci",10,69,"0.1",9,3,1,0.666666666666667
"5c66e2f32eacb200019ee394","ci",18,21,"0.1",21,1,1,0.5
"5c994ca30225a000167bd288","ci",18,70,"0.1",10,3,1,0.4
"5d1d5027558790001a6d4dea","ci",29,47,"0.1",17,2,1,0.6
"5dd33261fce6063503a61fd2","ci",30,24,"0.1",24,1,1,0.4
"5c994ca30225a000167bd288","ci",26,71,"0.1",11,3,1,0.444444444444444
"5c66e2f32eacb200019ee394","ci",10,22,"0.1",22,1,1,0.833333333333333
"5c994ca30225a000167bd288","ci",3,72,"0.1",12,3,1,0.75
"5d1e47055538e6001a842e3b","ci",13,5,"0.1",5,1,1,0.941176470588235
"5d1d5027558790001a6d4dea","ci",7,48,"0.1",18,2,1,0.333333333333333
