"","trial","region_idx","nregions","p_value","alpha","rank","critical_value","bh_profit","is_profit","tp","tn","fp","fn"
"109",6,2,12,2e-04,0.05,1,0.00416666666666667,TRUE,TRUE,1,0,0,0
"110",6,8,12,0.00403,0.05,2,0.00833333333333333,TRUE,FALSE,0,0,1,0
"111",6,3,12,0.00413,0.05,3,0.0125,TRUE,TRUE,1,0,0,0
"112",6,10,12,0.01456,0.05,4,0.0166666666666667,TRUE,TRUE,1,0,0,0
"113",6,4,12,0.06766,0.05,5,0.0208333333333333,FALSE,TRUE,0,0,0,1
"114",6,7,12,0.07415,0.05,6,0.025,FALSE,FALSE,0,1,0,0
"115",6,6,12,0.47758,0.05,7,0.0291666666666667,FALSE,FALSE,0,1,0,0
"116",6,1,12,0.66135,0.05,8,0.0333333333333333,FALSE,FALSE,0,1,0,0
"117",6,11,12,0.68569,0.05,9,0.0375,FALSE,FALSE,0,1,0,0
"118",6,5,12,0.84269,0.05,10,0.0416666666666667,FALSE,FALSE,0,1,0,0
"119",6,9,12,0.94189,0.05,11,0.0458333333333333,FALSE,FALSE,0,1,0,0
"120",6,12,12,0.99042,0.05,12,0.05,FALSE,FALSE,0,1,0,0
"121",7,4,8,0.04278,0.05,1,0.00625,FALSE,TRUE,0,0,0,1
"122",7,6,8,0.05701,0.05,2,0.0125,FALSE,TRUE,0,0,0,1
"123",7,1,8,0.09911,0.05,3,0.01875,FALSE,TRUE,0,0,0,1
"124",7,3,8,0.18775,0.05,4,0.025,FALSE,TRUE,0,0,0,1
"125",7,2,8,0.3556,0.05,5,0.03125,FALSE,TRUE,0,0,0,1
"126",7,8,8,0.40225,0.05,6,0.0375,FALSE,TRUE,0,0,0,1
"127",7,7,8,0.92031,0.05,7,0.04375,FALSE,FALSE,0,1,0,0
"128",7,5,8,0.96436,0.05,8,0.05,FALSE,FALSE,0,1,0,0
"129",7,6,12,0.01179,0.05,1,0.00416666666666667,FALSE,TRUE,0,0,0,1
"130",7,3,12,0.01198,0.05,2,0.00833333333333333,FALSE,TRUE,0,0,0,1
