"","trial","mu","sd","region_idx","estimate","estimate_10pc","estimate_5pc","estimate_1pc"
"154",16,0,5,4,0.07618,TRUE,FALSE,FALSE
"155",16,1,5,5,0.00029,TRUE,TRUE,TRUE
"156",16,0,5,6,0.69459,FALSE,FALSE,FALSE
"157",16,1,5,7,0.04198,TRUE,TRUE,FALSE
"158",16,1,5,8,0.00537,TRUE,TRUE,TRUE
"159",16,1,5,9,0.02566,TRUE,TRUE,FALSE
"160",16,1,5,10,2e-05,TRUE,TRUE,TRUE
"161",17,0,3.33333333333333,1,0.18266,FALSE,FALSE,FALSE
"162",17,0,3.33333333333333,2,0.37103,FALSE,FALSE,FALSE
"163",17,1,3.33333333333333,3,0.00041,TRUE,TRUE,TRUE
"164",17,0,3.33333333333333,4,0.28058,FALSE,FALSE,FALSE
"165",17,0,3.33333333333333,5,0.58681,FALSE,FALSE,FALSE
"166",17,1,3.33333333333333,6,1e-05,TRUE,TRUE,TRUE
"167",17,0,3.33333333333333,7,0.14543,FALSE,FALSE,FALSE
"168",17,0,3.33333333333333,8,0.12504,FALSE,FALSE,FALSE
"169",17,1,3.33333333333333,9,0,TRUE,TRUE,TRUE
"170",17,0,3.33333333333333,10,0.58734,FALSE,FALSE,FALSE
"171",18,0,2,1,0.29028,FALSE,FALSE,FALSE
"172",18,0,2,2,0.01863,TRUE,TRUE,FALSE
"173",18,1,2,3,0,TRUE,TRUE,TRUE
"174",18,0,2,4,0.86334,FALSE,FALSE,FALSE
"175",18,1,2,5,0,TRUE,TRUE,TRUE
"176",18,0,2,6,0.52649,FALSE,FALSE,FALSE
"177",18,0,2,7,0.57429,FALSE,FALSE,FALSE
"178",18,0,2,8,0.2838,FALSE,FALSE,FALSE
"179",18,0,2,9,0.20516,FALSE,FALSE,FALSE
"180",18,0,2,10,0.9004,FALSE,FALSE,FALSE
"181",19,0,5,1,0.29638,FALSE,FALSE,FALSE
"182",19,1,5,2,0.00181,TRUE,TRUE,TRUE
"183",19,1,5,3,0.00183,TRUE,TRUE,TRUE
"184",19,0,5,4,0.6726,FALSE,FALSE,FALSE
"185",19,0,5,5,0.67342,FALSE,FALSE,FALSE
"186",19,0,5,6,0.65805,FALSE,FALSE,FALSE
"187",19,1,5,7,0.01727,TRUE,TRUE,FALSE
"188",19,1,5,8,0,TRUE,TRUE,TRUE
"189",19,0,5,9,0.39993,FALSE,FALSE,FALSE
"190",19,1,5,10,0.09022,TRUE,FALSE,FALSE
"191",20,0,3.33333333333333,1,0.06166,TRUE,FALSE,FALSE
"192",20,0,3.33333333333333,2,0.80601,FALSE,FALSE,FALSE
"193",20,1,3.33333333333333,3,0.00078,TRUE,TRUE,TRUE
"194",20,1,3.33333333333333,4,0,TRUE,TRUE,TRUE
"195",20,0,3.33333333333333,5,0.96649,FALSE,FALSE,FALSE
"196",20,1,3.33333333333333,6,0.00887,TRUE,TRUE,TRUE
"197",20,1,3.33333333333333,7,0,TRUE,TRUE,TRUE
"198",20,0,3.33333333333333,8,0.11417,FALSE,FALSE,FALSE
"199",20,1,3.33333333333333,9,0.01579,TRUE,TRUE,FALSE
"200",20,0,3.33333333333333,10,0.46672,FALSE,FALSE,FALSE
"201",21,0,2,1,0.3868,FALSE,FALSE,FALSE
"202",21,0,2,2,0.44614,FALSE,FALSE,FALSE
"203",21,0,2,3,0.1155,FALSE,FALSE,FALSE
"204",21,0,2,4,0.5647,FALSE,FALSE,FALSE
"205",21,1,2,5,0,TRUE,TRUE,TRUE
"206",21,0,2,6,0.3153,FALSE,FALSE,FALSE
"207",21,0,2,7,0.44578,FALSE,FALSE,FALSE
"208",21,0,2,8,0.79807,FALSE,FALSE,FALSE
"209",21,0,2,9,0.3594,FALSE,FALSE,FALSE
"210",21,1,2,10,0,TRUE,TRUE,TRUE
"211",22,1,5,1,8e-05,TRUE,TRUE,TRUE
"212",22,1,5,2,0.01184,TRUE,TRUE,FALSE
"213",22,0,5,3,0.18168,FALSE,FALSE,FALSE
"214",22,0,5,4,0.78765,FALSE,FALSE,FALSE
"215",22,1,5,5,0.04967,TRUE,TRUE,FALSE
"216",22,0,5,6,0.66359,FALSE,FALSE,FALSE
"217",22,1,5,7,0.00082,TRUE,TRUE,TRUE
"218",22,0,5,8,0.8487,FALSE,FALSE,FALSE
"219",22,1,5,9,0.03286,TRUE,TRUE,FALSE
