"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
25559,"52b050f9","5ebaaa042866ba000a338fa5","6,10,3,5,11",5,5,0,-2,840,"raw-data",5,31,33.246,""
25560,"66673fd1","5ebaaa19c7f8c2000b80075d","10,7,2",1,8,-2,-1,-1920,"raw-data",5,5,18.507,""
25561,"17bc85fd","5ebaaa1474f38100095380ac","5,7,2",1,5,-2,0,-6720,"raw-data",5,32,8.296,""
25562,"62bca0ea","5ebaaa0e41cc8b000827c4f1","null",0,5,0,-7,-1960,"raw-data",5,29,15.337,""
25563,"2ffaaad6","5ebaaa0a5bbb550008b73326","3,1,8,6,4",4,3,-1,0,-9360,"raw-data",5,14,7.855,""
25564,"c89dca3f","5ebaaa0ae6cdc0000a5bfe80","4,2,1",2,4,-1,-5,-6720,"raw-data",5,29,12.881,""
25565,"f449fee6","5ebaaa141725910008e0ba7b","4,5,2,6,8,1",5,1,-1,-1,-7880,"raw-data",5,7,12.633,""
25566,"6578c321","5ebaaa134164a00009ff6901","6",1,5,0,-2,-160,"raw-data",5,25,16.113,""
25567,"dae5e1f0","5ebaaa3e09b13e000a8108e2","6",1,4,0,-7,-1480,"raw-data",5,4,7.218,""
25568,"aa73781f","5ebaaa198f7992000b602653","4,1,6",3,3,0,-6,-6040,"raw-data",5,26,13.812,""
25569,"b098f8ca","5ebaaa0b34c5ff0008e686b5","8",1,5,0,-2,560,"raw-data",5,34,7.601,""
25570,"fb8b755d","5ebaaa0226dc0a000acaf4a9","6,2",1,4,-1,-2,-4840,"raw-data",5,25,11.684,""
25571,"6a0786b4","5ebaaa02f290a1000ca8fdea","5,6,4",3,5,0,0,-3480,"raw-data",5,6,34.878,""
25572,"f2868c09","5ebaaa0e8314b40008a4e035","7,4",1,3,-1,-3,-2920,"raw-data",5,1,9.004,""
25573,"94d50f23","5ebaaa09b5c4fc0009be7b31","5,6,2,7,1",3,1,-2,-2,-5800,"raw-data",5,29,13.06,""
25574,"f6280ff2","5ebaaa0c1a218200089b1242","3,4,10",3,6,0,-3,-1240,"raw-data",5,22,44.777,""
25575,"f40648ca","5ebaaa0ef16ab9000ba336d9","7",1,4,0,-7,-840,"raw-data",5,27,43.82,""
25576,"4abdbf77","5ebaa9fa1269c70008eefddd","5,6,7",3,2,0,-7,-7640,"raw-data",5,7,13.671,""
25577,"2ffaaad6","5ebaaa0a5bbb550008b73326","5,2,8,3,6",5,3,0,0,-9200,"raw-data",5,27,9.136,""
25578,"c89dca3f","5ebaaa0ae6cdc0000a5bfe80","5,10",2,6,0,-4,-6640,"raw-data",5,34,9.797,""
25579,"63c76646","5ebaaa14352260000a7e30cf","null",0,4,0,-4,-1360,"raw-data",5,1,7.274,""
25580,"ede99de8","5ebaaa0d111567000854d25a","6,4",1,2,-1,-4,-2520,"raw-data",5,35,11.027,""
25581,"6874ffbb","5ebaa9fff497010009e0b2f9","null",0,4,0,-4,600,"raw-data",5,24,14.629,""
25582,"fbcde0e8","5ebaa9fdb46f9c000a082560","10,3,1,2,8,12",4,5,-2,-1,-14120,"raw-data",5,18,16.753,""
25583,"d67bf99a","5ebaaa12d9ef2900098cd942","8",1,11,0,0,-480,"raw-data",5,32,4.606,""
25584,"14e40cc6","5ebaaa0e54f1b90008a40c1a","11,6,9,3,2",5,4,0,-3,-1160,"raw-data",5,4,27.064,""
25585,"66673fd1","5ebaaa19c7f8c2000b80075d","7,9",0,5,-2,-5,-2680,"raw-data",5,16,14.423,""
25586,"fb8b755d","5ebaaa0226dc0a000acaf4a9","2,4,3",1,5,-2,0,-5480,"raw-data",5,32,6.836,""
25587,"3a74279a","5ebaaa16c7f8c2000a0b8497","2,3",2,3,0,-3,-1080,"raw-data",5,17,52.581,""
25588,"5425cb59","5ebaaa08198b2c0009c84e04","3,6,7,2,5",1,3,-4,0,-3080,"raw-data",5,32,34.653,""
25589,"f2868c09","5ebaaa0e8314b40008a4e035","5,4,6",3,5,0,0,-2760,"raw-data",5,6,7.345,""
25590,"ca489acb","5ebaaa11c3d7670008f75ba1","12,7,9,3,2",4,5,-1,-2,-8920,"raw-data",5,13,19.724,""
25591,"62bca0ea","5ebaaa0e41cc8b000827c4f1","10,12,3",3,7,0,-2,-1800,"raw-data",5,24,15.967,""
25592,"f449fee6","5ebaaa141725910008e0ba7b","2,4",1,6,-1,0,-8120,"raw-data",5,32,15.764,""
25593,"b098f8ca","5ebaaa0b34c5ff0008e686b5","5,4",2,3,0,-3,600,"raw-data",5,23,11.009,""
25594,"ada3efba","5ebaaa107e02a00008698fab","4",1,5,0,-6,-240,"raw-data",5,2,22.893,""
25595,"63c76646","5ebaaa14352260000a7e30cf","6",1,3,0,-4,-1360,"raw-data",5,26,5.939,""
25596,"dae5e1f0","5ebaaa3e09b13e000a8108e2","3",1,5,0,-6,-1480,"raw-data",5,29,13.857,""
25597,"5e9980a8","5ebaa9fdee72bc000a90840f","8,11,1,5",1,8,-3,0,-2600,"raw-data",5,32,41.254,""
25598,"233c6af4","5ebaaa05af1dad000a486f2f","5,10",2,6,0,-4,-5680,"raw-data",5,34,26.98,""
