"m","trial","index","p","positive"
16,2,4,0.653450967743993,0
16,2,5,0.406702034175396,0
16,2,6,0.420544143998995,0
16,2,7,0.136780823972369,1
16,2,8,0.549539708066732,0
16,2,9,0.0221084589235627,1
16,2,10,0.340415094746277,0
16,2,11,0.619385601719841,0
16,2,12,0.820727599319071,0
16,2,13,0.428680436685681,0
16,2,14,0.113441897556186,0
16,2,15,0.113684427924454,0
16,2,16,0.853681589011103,0
16,3,1,0.420701959170401,0
16,3,2,0.790828749770299,0
16,3,3,0.305565506685525,0
16,3,4,0.0358937696744677,1
16,3,5,0.0255044080936187,1
16,3,6,0.90487271011807,0
16,3,7,0.00541006206744377,1
16,3,8,0.564454582519829,0
16,3,9,0.163139793731932,1
16,3,10,0.0689143696799874,0
16,3,11,0.308421688620001,0
16,3,12,0.0879051480442286,0
16,3,13,0.211127876577314,1
16,3,14,0.655211160192266,0
16,3,15,0.604098865063861,0
16,3,16,0.84560567419976,0
16,4,1,0.583515868755057,0
16,4,2,0.174567699432373,0
16,4,3,0.590774800628424,0
16,4,4,0.0422758518094795,1
16,4,5,0.452517755675053,1
16,4,6,0.714033106109127,0
16,4,7,0.522921412950382,0
16,4,8,0.170898064272478,0
16,4,9,0.867335837101564,0
16,4,10,0.745221731795772,1
16,4,11,0.240509259048849,0
16,4,12,0.859677999978885,0
16,4,13,0.220075798993803,1
16,4,14,0.436681572813541,0
16,4,15,0.0159048258894526,1
16,4,16,0.366651073331013,0
16,5,1,0.891312142601237,0
16,5,2,0.682514089858159,0
16,5,3,0.0198434564198641,1
16,5,4,0.721828763373196,0
16,5,5,0.878477815305814,0
16,5,6,0.606448488035397,1
16,5,7,0.959942963905632,0
16,5,8,0.363880372140557,0
16,5,9,0.0753819050733,0
16,5,10,0.47431977535598,0
16,5,11,0.183232464361936,0
16,5,12,0.849845587508753,0
16,5,13,0.274389292411492,1
16,5,14,0.252514467261103,1
16,5,15,0.248509590281174,0
16,5,16,0.00913772684873184,1
16,6,1,0.0999976124148816,0
16,6,2,0.0420027206530064,1
16,6,3,0.41275876853615,0
16,6,4,0.0060121546433645,1
16,6,5,0.375809523658108,1
16,6,6,0.276466592984365,1
16,6,7,0.68158389790915,0
16,6,8,0.446124942274764,0
16,6,9,0.111126306233928,0
16,6,10,0.0830611106939614,0
16,6,11,0.656694595236331,0
16,6,12,0.941671545617282,0
16,6,13,0.577486244263127,0
16,6,14,0.108794770902023,0
16,6,15,0.0420906089711934,0
16,6,16,0.142228963912038,1
16,7,1,0.0265417909539097,1
16,7,2,0.231886147288606,0
16,7,3,0.580557081848383,0
16,7,4,0.866087433810788,1
16,7,5,0.985360290855169,0
16,7,6,0.998419471783563,0
16,7,7,0.108900674851611,0
16,7,8,0.0385161763648243,1
16,7,9,0.803804100723937,0
16,7,10,0.0530200451612473,0
16,7,11,0.0620993466798406,1
16,7,12,0.548300929833204,0
16,7,13,0.0541634380775276,1
16,7,14,0.794969801558182,0
16,7,15,0.153255460783839,0
16,7,16,0.621354044415057,0
16,8,1,0.0496069773060028,1
16,8,2,0.0568904022220522,0
16,8,3,0.302871819818392,0
16,8,4,0.720174635760486,0
16,8,5,0.232495752861723,0
16,8,6,0.0864137995016275,1
16,8,7,0.205598545726389,0
16,8,8,0.000149140377372825,1
16,8,9,0.053748712454313,1
16,8,10,0.985717084491625,0
16,8,11,0.338179365266114,0
16,8,12,0.279559381539002,0
16,8,13,0.813463180791587,0
16,8,14,0.0130519045681362,1
16,8,15,0.763928672997281,0
16,8,16,0.668019297067076,0
16,9,1,0.136161537608132,0
16,9,2,0.690291356528178,0
16,9,3,0.357664875220507,0
16,9,4,0.0570149605262644,1
16,9,5,0.637267492711544,0
16,9,6,0.0733109998885492,1
16,9,7,0.0274380957423341,1
16,9,8,0.0145215843804181,0
16,9,9,0.443963987752795,0
16,9,10,0.456060174619779,0
16,9,11,0.621569376904517,0
16,9,12,0.00149894480202863,1
16,9,13,0.32761453720741,0
16,9,14,0.257448620861396,0
16,9,15,0.00330223258733179,1
16,9,16,0.571534997550771,0
16,10,1,0.0624439670787396,1
16,10,2,0.0603689699704604,1
16,10,3,0.481210317229852,0
16,10,4,0.952729397220537,0
16,10,5,0.916572971269488,0
16,10,6,0.0875798371302088,1
16,10,7,0.0254830787189606,1
16,10,8,0.671941933454946,0
16,10,9,0.149321157252416,0
16,10,10,0.801520371809602,0
16,10,11,0.328610392985865,0
16,10,12,0.409421217860654,0
16,10,13,0.0706310458481312,0
16,10,14,0.139116495847702,0
16,10,15,0.0802155013661832,0
16,10,16,0.29233364942117,1
20,1,1,0.93459343072027,0
20,1,2,0.467929247999564,0
20,1,3,0.0892607842106372,0
20,1,4,0.946005253819749,0
20,1,5,0.412721036933362,0
20,1,6,0.0253965303280126,1
20,1,7,0.0167893095942415,1
20,1,8,0.804595548193902,0
20,1,9,0.301726758712903,0
20,1,10,0.00243571884032622,1
20,1,11,0.203154681500181,1
20,1,12,0.190964707173407,0
20,1,13,0.988750797929242,0
20,1,14,0.257193311583251,0
20,1,15,0.978561691707,0
20,1,16,0.129732507158356,1
20,1,17,0.621398364659399,0
20,1,18,0.947873409371823,0
20,1,19,0.0641128092910791,1
20,1,20,0.101435417309403,0
20,2,1,0.699249172350392,0
20,2,2,0.565001201117411,0
20,2,3,0.00164874220764555,1
20,2,4,0.636680240742862,0
20,2,5,0.900005314033478,0
20,2,6,0.172031963244081,0
20,2,7,0.0036896148169115,1
20,2,8,0.980557225644588,0
20,2,9,0.372304175980389,0
20,2,10,0.0867520249429326,1
20,2,11,0.76535562123172,0
20,2,12,0.130198279162869,0
20,2,13,0.0460734453517944,0
20,2,14,0.22212258214131,0
20,2,15,0.297853048192337,0
20,2,16,0.00269297083915623,1
20,2,17,0.0907962012570351,0
20,2,18,0.040046513173593,1
20,2,19,0.0159747105508479,1
20,2,20,0.175172325922176,0
20,3,1,0.716762616764754,0
20,3,2,0.310803440632299,0
20,3,3,0.879508996382356,0
20,3,4,0.296263612664173,1
20,3,5,0.291538154473528,0
20,3,6,0.628680273192003,0
20,3,7,0.130299076528994,1
20,3,8,0.151743113528937,0
20,3,9,0.197954335715622,0
20,3,10,0.216085409512743,0
20,3,11,0.222573822733818,1
20,3,12,0.551766206277534,0
20,3,13,0.208260003942996,0
