"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
13129,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","8,2,4,3",3,3,-1,-1,2600,"ci","5",14,8.516,
13130,"5ac5732d1667e40001d867f9","5e9db2ae2161b50c3f277221","null",0,6,0,-6,-360,"ci","5",14,33.965,
13131,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","5,6",2,3,0,-3,-2000,"ci","5",13,12.326,
13132,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","5",1,5,0,-2,-25240,"ci","5",34,3.474,
13133,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","8,4,3",3,4,0,-1,760,"ci","5",14,10.576,
13134,"59a959925ea0f30001281475","5e9daf0a8662720b6dcac98a","10,2,11,3,1,4,7,12,5,6",10,2,0,0,-8880,"ci","5",7,16.545,
13135,"5d1aab1fb8fd6c001834e939","5e9daebf32b4a20bda7aaf89","3,12,7,1",3,3,-1,-5,-6840,"ci","5",15,11.873,
13136,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","1,4,2,7,6,8,5",5,1,-2,0,-15600,"ci","5",35,9.644,
13137,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","5,7,4,6,3",5,3,0,0,-400,"ci","5",31,15.431,
13139,"5e7dd515aa9da60009e412f2","5e9db0a139a7630c58872778","2,5,1,8",4,4,0,0,3240,"ci","5",12,5.688,
13140,"5e70d17c2a461402e1567b7b","5e9db1764157fb0c3cf6ca8d","6",1,5,0,-2,480,"ci","5",8,10.262,
13141,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","8,3,4",3,4,0,-1,-25120,"ci","5",21,4.188,
13142,"5d9a40d81abbe700154a04a0","5e9daee71d362a0b6e169386","7,8,10,11",4,4,0,-4,1320,"ci","5",27,15.041,
13143,"5bd170999afb5b00015ba3b1","5e9daec7c8df730bd44671b9","3,7,4,5",4,3,0,-1,2720,"ci","5",31,7.552,
13144,"5e8b5a6ce1552d02238e37fb","5e9daee54c037e0bbf8a2bbd","3,6,5,2",3,2,-1,-2,-19240,"ci","5",29,9.492,
13145,"5e455ad0703c9403276f7872","5e9daedec9faf40bf7e8f049","4,1,6,2",4,2,0,-2,-15520,"ci","5",10,6.728,
13146,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","5,6",2,5,0,-1,-25000,"ci","5",8,3.635,
13147,"5daaf077a131410013cfce11","5e9daeed533d5e0b6fa5fbfb","3,8,2,4",4,4,0,0,-2360,"ci","5",21,4.848,
13148,"5e6d59aca2a42832fc539205","5e9daedbd8d8010c94ea2e5e","8",1,4,0,-3,240,"ci","5",11,15.404,
13149,"5e67a2148d2161000c4b1d57","5e9daec50fb1590bd8b6feaa","4",1,3,0,-4,-25000,"ci","5",31,2.626,
13150,"5cd6eba26834a6001746b667","5e9db2ae1bc5790c36b82aca","5,11,10,1,3,12",5,5,-1,-1,-400,"ci","5",34,28.082,
13151,"5d1aab1fb8fd6c001834e939","5e9daebf32b4a20bda7aaf89","7,3,12",2,4,-1,-5,-7200,"ci","5",2,10.917,
13152,"58ab12f1e6afe00001d36237","5e9daece73ed8c0c30f7c2c2","2,8,4,3",3,3,-1,-1,-680,"ci","5",14,8.671,
13153,"5b06ebe96f73510001fdb40e","5e9dafed73ed8c0c84d2b877","1,8,5,2",4,4,0,0,-1840,"ci","5",12,13.385,
13154,"5e073887dc85350bf4d98bb9","5e9daeb53cfc680bcf5bd92b","1,6,2",3,3,0,-2,840,"ci","5",15,10.166,
