session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ebaeafc948ce1081accd11a,5e963ba8f77df60bb140ad05,RETURNED,2020-05-12 18:29:19.693000,,968967.800258,28,76,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb00e651d908efdf1409,5e5eb434e58b6a1e738a071f,AWAITING REVIEW,2020-05-12 18:31:13.258000,2020-05-12 18:56:23.289000,1510.031,21,58,1,99,,29ABE0A0,Switzerland,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,Yes
5ebaeb002a848208ea7852f7,5ea9201fa09cad38b736e20a,AWAITING REVIEW,2020-05-12 18:29:29.313000,2020-05-12 18:52:56.531000,1407.218,21,52,0,100,,29ABE0A0,United States,United States,Unemployed (and job seeking),English,United States,Male,Yes
5ebaeb00ee8f8f085ebf60bb,5bf604c93a46830001a6d26b,RETURNED,2020-05-12 18:29:23.773000,,968963.762878,29,622,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb000edc6f09413ba56a,5740aa71a0a4b20010b02da0,RETURNED,2020-05-12 18:29:25.315000,,968962.220949,37,931,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb014fa5d70962ce998b,599a9252bbe848000179676e,REJECTED,2020-05-12 18:29:24.812000,2020-05-12 18:52:25.341000,1380.529,54,130,3,98,2020-05-13 00:34:31.838000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebaeb0221254f09a8c473ad,5d5e6ddaaf0fd80001c7ca8d,AWAITING REVIEW,2020-05-12 18:29:31.667000,2020-05-12 18:57:56.355000,1704.688,34,202,1,100,,29ABE0A0,Canada,United Kingdom,Full-Time,English,Canada,Female,No
5ebaeb02172cca087421f0ca,5ea0396d7600ab05c685fd51,RETURNED,2020-05-12 18:29:22.768000,,968964.811681,19,21,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb039776ec07fda797b2,5bcc762f77740000016a869c,RETURNED,2020-05-12 18:29:28.343000,,968959.236755,51,278,16,89,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb038d3e7f08e2225ba0,598cbe5651049400015fd93b,AWAITING REVIEW,2020-05-12 18:29:27.864000,2020-05-12 18:54:42.224000,1514.36,27,443,0,100,,29ABE0A0,South Africa,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,South Africa,Female,No
5ebaeb03e767b4086666c5ef,5eb5b4fa083a734883b31512,AWAITING REVIEW,2020-05-12 18:29:29.731000,2020-05-12 18:46:07.400000,997.669,20,9,0,100,,29ABE0A0,United States,United States,Other,English,United States,Male,Yes
5ebaeb0417259108c2b7333a,5e45986b0f5e4105b6067c23,AWAITING REVIEW,2020-05-12 18:35:59.821000,2020-05-12 19:10:45.586000,2085.765,21,47,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ebaeb06fae31208c5693ef6,5dc4ca3d43755e38f1e60347,AWAITING REVIEW,2020-05-12 18:29:28.792000,2020-05-12 18:48:42.597000,1153.805,30,72,0,100,,29ABE0A0,Canada,Canada,Part-Time,English,Canada,Female,No
5ebaeb064fa5d7090771f1d7,5eb7f23f721d21000af232e2,AWAITING REVIEW,2020-05-12 18:29:37.017000,2020-05-12 18:54:49.181000,1512.164,29,15,0,100,,29ABE0A0,United Kingdom,,Full-Time,English,United Kingdom,Female,No
5ebaeb0694238208e1f31da0,5d38dd61cd5594000137c4be,AWAITING REVIEW,2020-05-12 18:29:29.242000,2020-05-12 18:45:55.871000,986.629,28,293,0,100,,29ABE0A0,United States,United States,Full-Time,English,United States,Male,No
5ebaeb06172cca087421f0cb,5e5e554c96354116e593f460,RETURNED,2020-05-12 18:29:30.325000,,968957.37549,37,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb06569ac1084511d27a,5d16dec73ecb0f001e63fb33,AWAITING REVIEW,2020-05-12 18:29:36.705000,2020-05-12 18:51:12.534000,1295.829,30,158,1,100,,29ABE0A0,United States,United States,Full-Time,English,United States,Female,No
5ebaeb06fa827c08f939edc7,5dd28cf3fef7c229fd984072,RETURNED,2020-05-12 18:30:14.460000,,968913.261453,38,117,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb06c7205108fad30e80,5e876872ca754f08ceb52e9e,RETURNED,2020-05-12 18:29:26.909000,,968960.812519,36,82,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb0792e9c70811af9883,5cfb0245ee679e00018f15a6,AWAITING REVIEW,2020-05-12 18:29:30.967000,2020-05-12 18:47:00.777000,1049.81,31,186,0,100,,29ABE0A0,United States,United States,Unemployed (and job seeking),English,United States,Female,No
5ebaeb07c7205108fad30e81,5e9aabd1f307ac13f5c18cc3,AWAITING REVIEW,2020-05-12 18:29:36.472000,2020-05-12 19:09:20.346000,2383.874,21,33,0,100,,29ABE0A0,United States,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5ebaeb07bee81c082f971538,5e4acb83a987df0203f18ef1,RETURNED,2020-05-12 18:29:32.785000,,968954.980629,34,147,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb08e95c4c087826bb1b,5eb00fbdedc9e7043af7cac6,AWAITING REVIEW,2020-05-12 18:29:48.819000,2020-05-12 18:49:37.867000,1189.048,18,11,0,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
5ebaeb08e767b4086666c5f3,5ea4af0e2da60f08dac4ecad,RETURNED,2020-05-12 18:29:30.421000,,968957.366817,24,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb09b586b4080eff5272,5e94fe1e164143000adac1ae,RETURNED,2020-05-12 18:29:32.494000,,968955.299432,,55,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebaeb09fa1e09084c274a2d,5b27c8498ecf3f000161a4c8,AWAITING REVIEW,2020-05-12 18:33:32.659000,2020-05-12 18:53:13.583000,1180.924,33,123,2,99,,29ABE0A0,South Africa,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
5ebaeb0a6bda4509373ba647,5e29d82712b2f8029e117f2b,AWAITING REVIEW,2020-05-12 18:29:31.470000,2020-05-12 18:50:43.347000,1271.877,24,75,1,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ebaeb45ebfffa08bd06bf3d,5e5410f5be932e06384a03ec,AWAITING REVIEW,2020-05-12 18:34:18.181000,2020-05-12 19:16:05.855000,2507.674,28,69,0,100,,29ABE0A0,United States,United States,Full-Time,English,United States,Male,No
5ebaeb6dd1ba38082762a4ff,5bc3b13fa36d7100013f4b62,AWAITING REVIEW,2020-05-12 18:39:35.601000,2020-05-12 19:10:51.811000,1876.21,25,423,1,100,,29ABE0A0,Gambia,United States,Full-Time,English,Gambia,Female,No
5ebaec3dad93e2086eca7c30,5e99910e8e26a51d3e06ca06,AWAITING REVIEW,2020-05-12 18:35:11.181000,2020-05-12 19:02:50.022000,1658.841,38,33,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ebaec74b9f23a0937252406,5ca6bbf13b5fcf00100996e9,RETURNED,2020-05-12 18:35:47.740000,,968580.169401,54,533,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
